曲名,id,time,EXPERT,FC定数,AP定数,MASTER,FC定数,AP定数
みくみくにしてあげる♪【してやんよ】,124,20210309,24,23.266,23.015,28,28.163,28.223
ボッカデラベリタ,125,20210306,25,24.681,25.392,28,28.697,28.818
ワンスアポンアドリーム,105,20210228,22,22.055,21.855,27,27.998,26.994
限りなく灰色へ,90,20210226,26,25.836,26.742,30,30.33,30.066
Brand New Day,128,20210222,28,27.83,27.838,32,32.843,32.419
ポジティブ☆ダンスタイム,122,20210219,26,26.281,26.57,31,30.76,31.595
drop pop candy,15,20210215,25,24.104,24.18,28,28.669,28.708
タイムマシン,8,20210210,23,22.108,22.955,26,26.507,25.737
ミルククラウン・オン・ソーネチカ,107,20210206,26,25.178,25.711,30,30.03,30.221
RAD DOGS,101,20210131,26,25.698,26.505,30,30.383,30.563
Color of Drops,89,20210129,23,22.717,22.858,27,27.651,27.104
ヒビカセ,109,20210118,25,24.357,25.457,28,27.927,27.798
ワールズエンド・ダンスホール,119,20210114,26,25.673,26.754,30,29.716,30.226
霽れを待つ,97,20210110,26,25.706,25.828,30,29.534,30.206
とても痛い痛がりたい,94,20210105,23,23.027,23.208,28,28.967,28.058
ブレス・ユア・ブレス,72,20210104,24,23.516,23.51,28,28.555,28.065
チュルリラ・チュルリラ・ダッダッダ！,88,20210103,26,25.864,27.006,31,31.196,31.321
ECHO,100,20210102,23,22.503,23.148,26,26.257,25.162
千本桜,110,20210101,26,25.495,25.115,32,32.478,32.148
＊ハロー、プラネット。,118,20201231,24,23.965,24.464,28,28.607,28.378
恋愛裁判,87,20201230,22,20.745,21.646,27,27.63,27.391
グリーンライツ・セレナーデ,46,20201229,27,27.089,27.701,31,31.137,31.227
ドラマツルギー,91,20201228,25,24.313,24.768,28,28.969,28.352
ODDS＆ENDS,117,20201224,24,23.616,23.618,29,28.596,28.152
ニジイロストーリーズ,103,20201220,25,24.73,25.453,29,29.376,29.482
独りんぼエンヴィー,74,20201214,22,21.037,19.825,26,26.176,25.149
Forward,55,20201208,24,24.224,24.739,28,28.603,28.601
ウミユリ海底譚,75,20201201,23,22.277,23.073,27,26.84,26.778
愛されなくても君がいる,108,20201130,23,22.291,22.994,27,27.008,26.549
アンノウン・マザーグース,115,20201123,26,25.992,27.191,29,29.379,29.759
裏表ラバーズ,114,20201121,26,25.971,26.981,30,29.539,29.995
モア！ジャンプ！モア！,99,20201119,26,26.127,26.368,31,30.584,30.66
ローリンガール,113,20201114,26,25.842,26.702,31,30.241,30.4
potatoになっていく,52,20201107,24,23.506,23.999,28,28.817,28.921
乙女解剖,92,20201101,24,23.763,25.057,27,27.288,27.432
メルティランドナイトメア,70,20201025,24,23.635,23.91,26,26.545,25.823
ジャックポットサッドガール,62,20201020,26,26.089,27.036,29,29.018,29.576
Leia - Remind,85,20201019,25,24.52,25.459,28,28.197,28.52
ステラ,64,20201018,26,25.471,25.819,30,29.517,29.529
青く駆けろ！,93,20201017,24,23.392,23.799,27,26.938,26.173
39みゅーじっく！,45,20201016,23,22.531,23.326,28,27.383,27.135
携帯恋話,61,20201015,25,24.445,25.201,29,28.667,29.168
on the rocks,86,20201014,23,21.973,22.402,27,26.375,26.021
ミラクルペイント,36,20201013,25,24.634,26.43,29,28.964,29.834
ジャンキーナイトタウンオーケストラ,84,20201012,26,25.524,26.518,31,30.651,31.531
ビバハピ,11,20201011,24,23.757,23.858,28,28.464,28.129
Gimme×Gimme,83,20201010,26,26.003,27.482,29,29.111,29.338
夜咄ディセイブ,81,20201009,26,25.701,26.995,30,29.5,30.482
Hand in Hand,44,20201008,23,22.269,22.919,27,26.783,26.769
ダンスロボットダンス,68,20201007,26,25.618,25.921,29,29.132,29.224
ワールドイズマイン,48,20201006,24,23.862,24.647,28,28.293,28.22
命に嫌われている,22,20201005,26,25.277,25.478,29,29.145,28.869
脱法ロック,21,20201004,26,25.155,25.853,31,31.359,31.519
Just Be Friends,27,20201003,23,22.072,23.132,27,26.669,26.544
